Date,Time,Temperature-C-01,Temperature-C-02,Temperature-C-03,Avg-Temperature,Rh-01,Rh-02,Rh-03,Rh-Average,Prec,Soil Moisture-1,Soil Moisture-2,Soil Moisture-3,M-Average,Light-01,Light-02,Light-03
10/6/2567,0:00:00,32.8,28.7,29.2,30.2,79,66.1,88.9,78,0,12,17,15,14.5,0,0,0
10/6/2567,1:00:00,33.1,28.7,29.2,30.3,78,66.1,90.1,78,0,12,17,15,14.5,1,2,0
10/6/2567,2:00:00,33.2,29.2,29.7,30.7,77,67.2,91.2,78.5,0,12,17,15,14.5,0,0,0
10/6/2567,3:00:00,32.6,29.9,30.4,31,75.9,66.1,91.2,77.7,0,11,15,13,13.2,0,2,0
10/6/2567,4:00:00,32.6,30,30.5,31,72.8,65,91.2,76.3,0,11,15,13,13.2,0,0,0
10/6/2567,5:00:00,32.7,30.2,30.7,31.2,69.7,65,91.2,75.3,0,11,15,13,13.2,0,0,0
10/6/2567,6:00:00,32.5,30.2,30.7,31.1,69.7,66.1,92.3,76,0,11,15,13,13.2,8,11,0
10/6/2567,7:00:00,32.5,30.8,31.4,31.6,67.6,67.2,92.3,75.7,0,11,15,13,13.2,257,306,7
10/6/2567,8:00:00,32.4,30.7,31.3,31.5,66.6,68.3,93.5,76.1,0,12,17,15,14.5,709,641,62
10/6/2567,9:00:00,32,31.3,31.9,31.7,66.6,69.4,93.5,76.5,0,12,17,15,14.5,939,821,172
10/6/2567,10:00:00,31.8,31.3,31.9,31.6,64.5,70.6,93.5,76.2,0,12,17,15,14.5,860,990,230
10/6/2567,11:00:00,31.6,31.3,31.9,31.6,63.4,72.8,93.5,76.6,0,12,17,15,14.5,1320,1131,214
10/6/2567,12:00:00,31,31.3,31.9,31.4,61.4,72.8,93.5,75.9,0,12,17,15,14.5,1372,1524,153
10/6/2567,13:00:00,30.5,32,32.6,31.7,61.4,73.9,93.5,76.3,0,12,17,15,14.5,3437,6522,199
10/6/2567,14:00:00,30.2,32.2,32.7,31.7,61.4,75,95.8,77.4,0,12,17,15,14.5,2906,6355,280
10/6/2567,15:00:00,29.8,32.3,32.9,31.6,60.3,76.2,98,78.2,0,12,17,15,14.5,2400,3632,160
10/6/2567,16:00:00,29.6,32.6,33.2,31.8,59.3,77.3,98,78.2,0,11,15,13,13.2,1460,2161,52
10/6/2567,17:00:00,29.3,32.2,32.7,31.4,59.3,78.4,99.2,79,0,12,17,15,14.5,372,1064,28
10/6/2567,18:00:00,29,32.9,33.5,31.8,58.2,78.4,100.3,79,0,12,17,15,14.5,9,26,4
10/6/2567,19:00:00,28.7,32.2,32.7,31.2,57.2,78.4,100.3,78.6,0,11,15,13,13.2,1,0,0
10/6/2567,20:00:00,28.5,32.6,33.2,31.4,56.2,78.4,101.5,78.7,0,11,15,13,13.2,0,0,0
10/6/2567,21:00:00,28.4,33,33.6,31.7,57.2,79.5,101.5,79.4,0,11,15,13,13.2,0,0,0
10/6/2567,22:00:00,28.2,33.2,33.9,31.8,58.2,78.4,101.5,79.4,0,11,15,13,13.2,0,2,0
10/6/2567,23:00:00,28,33.1,33.7,31.6,56.2,79.5,100.3,78.7,0,11,15,13,13.2,0,2,0
11/6/2567,0:00:00,27.8,32.7,33.3,31.3,56.2,79.5,99.2,78.3,0,9,12,11,10.6,0,0,0
11/6/2567,1:00:00,27.4,32.9,33.5,31.3,56.2,79.5,98,77.9,0,9,12,11,10.6,0,0,0
11/6/2567,2:00:00,26.7,33.2,33.9,31.3,54.1,77.3,95.8,75.7,0,9,12,11,10.6,0,0,0
11/6/2567,3:00:00,26,32.7,33.3,30.7,56.2,77.3,92.3,75.3,0,9,12,11,10.6,0,0,0
11/6/2567,4:00:00,25.8,32.8,33.4,30.7,54.1,77.3,91.2,74.2,0,9,12,11,10.6,0,0,0
11/6/2567,5:00:00,25.3,32.9,33.5,30.6,54.1,76.2,87.8,72.7,0,9,12,11,10.6,0,0,0
11/6/2567,6:00:00,25.1,32.7,33.3,30.4,53,75,85.5,71.2,0,10,14,12,11.9,0,0,0
11/6/2567,7:00:00,24.8,32.5,33.1,30.1,51,75,83.2,69.7,0,10,14,12,11.9,135,305,15
11/6/2567,8:00:00,24.6,32.2,32.7,29.8,53,76.2,77.5,68.9,0,10,14,12,11.9,968,1395,35
11/6/2567,9:00:00,24.5,32.4,33,29.9,52,73.9,76.4,67.4,0,10,14,12,11.9,1824,3065,47
11/6/2567,10:00:00,24.5,31.4,32,29.3,51,71.7,75.2,66,0,10,14,12,11.9,2584,4414,54
11/6/2567,11:00:00,24.4,30.6,31.2,28.7,51,68.3,76.4,65.2,0,10,14,12,11.9,1267,2387,62
11/6/2567,12:00:00,24.2,30.2,30.7,28.4,51,69.4,73,64.5,0,10,14,12,11.9,2052,1870,104
11/6/2567,13:00:00,24,30,30.5,28.2,51,69.4,73,64.5,0,10,14,12,11.9,2858,4169,419
11/6/2567,14:00:00,24,29.8,30.3,28,52,71.7,71.8,65.2,0,10,14,12,11.9,3202,3454,394
11/6/2567,15:00:00,23.8,29.4,30,27.7,51,71.7,70.7,64.4,0,10,14,12,11.9,1628,1620,290
11/6/2567,16:00:00,23.7,29,29.5,27.4,49.9,70.6,69.5,63.3,0,9,12,11,10.6,643,1516,137
11/6/2567,17:00:00,23.5,28.6,29.1,27.1,51,69.4,69.5,63.3,0,9,12,11,10.6,498,511,48
11/6/2567,18:00:00,23.4,27.9,28.4,26.6,49.9,67.2,67.3,61.5,0,9,12,11,10.6,40,62,1
11/6/2567,19:00:00,23.3,27.1,27.6,26,48.9,67.2,65,60.4,0,9,12,11,10.6,0,0,0
11/6/2567,20:00:00,23.1,26.7,27.2,25.7,48.9,65,65,59.6,0,9,12,11,10.6,0,0,0
11/6/2567,21:00:00,23,26.6,27.1,25.5,48.9,63.8,65,59.2,0,9,12,11,10.6,0,0,0
11/6/2567,22:00:00,22.9,26.7,27.2,25.6,48.9,65,63.8,59.2,0,9,12,11,10.6,0,0,0
11/6/2567,23:00:00,22.7,26.9,27.4,25.7,47.8,62.7,63.8,58.1,0,9,12,11,10.6,0,0,0
12/6/2567,0:00:00,22.6,26.9,27.4,25.7,47.8,61.6,63.8,57.8,0,11,15,13,13.2,0,0,0
12/6/2567,1:00:00,22.5,27,27.5,25.7,46.8,61.6,61.6,56.7,0,11,15,13,13.2,1,0,0
12/6/2567,2:00:00,22.5,27,27.5,25.7,47.8,62.7,61.6,57.4,0,11,15,13,13.2,0,0,0
